,Dominant Topic,Document_Count,Percentage
0,0,242,6.73
1,1,327,9.09
2,2,188,5.23
3,3,334,9.29
4,4,493,13.71
5,5,366,10.18
6,6,303,8.42
7,7,376,10.45
8,8,475,13.21
9,9,267,7.42
10,10,226,6.28
