,Dominant Topic,Document_Count,Percentage
0,0,347,9.65
1,1,332,9.23
2,2,380,10.56
3,3,300,8.34
4,4,258,7.17
5,5,531,14.76
6,6,283,7.87
7,7,480,13.34
8,8,451,12.54
9,9,235,6.53
