,Num Topic,Score
0,5,0.48048309112885795
1,6,0.4646857048097152
2,7,0.439141704766189
3,8,0.43395452736573015
4,9,0.43134775246841345
5,10,0.46149600415307407
6,11,0.4231957824496201
7,12,0.4051294495306344
8,13,0.43364097287031306
9,14,0.4188351178954301
10,15,0.42119524114060714
11,16,0.4033113357138195
12,17,0.4089200632483944
13,18,0.39517600606140874
14,19,0.3913874710656743
15,20,0.3838644107047006
16,21,0.3998168543570861
17,22,0.387595666123433
18,23,0.39010216726422764
19,24,0.39671697101625686
20,25,0.3748170872836287
21,26,0.3620937178764768
22,27,0.3687967514405276
23,28,0.34069281392623163
24,29,0.35358475183556426
25,30,0.35034277695437605
