,Dominant Topic,Document_Count,Percentage
0,0,568,11.87
1,1,483,10.09
2,2,444,9.28
3,3,459,9.59
4,4,294,6.14
5,5,366,7.65
6,6,501,10.47
7,7,319,6.67
8,8,451,9.43
9,9,386,8.07
10,10,514,10.74
