,Dominant Topic,Document_Count,Percentage
0,0,202,5.62
1,1,283,7.87
2,2,238,6.62
3,3,325,9.04
4,4,307,8.53
5,5,185,5.14
6,6,235,6.53
7,7,215,5.98
8,8,221,6.14
9,9,230,6.39
10,10,255,7.09
11,11,198,5.5
12,12,187,5.2
13,13,295,8.2
14,14,221,6.14
