,Dominant Topic,Document_Count,Percentage
0,0,377,7.88
1,1,305,6.37
2,2,270,5.64
3,3,359,7.5
4,4,322,6.73
5,5,239,4.99
6,6,224,4.68
7,7,294,6.14
8,8,382,7.98
9,9,357,7.46
10,10,267,5.58
11,11,270,5.64
12,12,373,7.8
13,13,458,9.57
14,14,288,6.02
