,Dominant Topic,Document_Count,Percentage
0,0,449,12.48
1,1,588,16.35
2,2,452,12.57
3,3,498,13.84
4,4,325,9.04
5,5,481,13.37
6,6,459,12.76
7,7,345,9.59
