,Dominant Topic,Document_Count,Percentage
0,0,323,8.98
1,1,471,13.09
2,2,403,11.2
3,3,272,7.56
4,4,339,9.42
5,5,277,7.7
6,6,456,12.68
7,7,214,5.95
8,8,319,8.87
9,9,254,7.06
10,10,269,7.48
