,Prob,Word
0,0.058749127704117235,im
1,0.026256106071179345,time
2,0.025732728541521283,ive
3,0.018885205861828333,imag
4,0.017402302861130495,save
5,0.016311933007676204,question
6,0.016093859036985344,search
7,0.014741800418702024,inform
8,0.013913119330076763,solut
9,0.013215282623866016,make
10,0.013040823447313329,idea
11,0.012342986741102582,build
12,0.012342986741102582,start
13,0.011121772505233775,line
14,0.010380321004884858,multipl
15,0.010249476622470341,thing
16,0.009638869504535939,problem
17,0.009595254710397768,note
18,0.009464410327983251,report
19,0.009202721563154222,add
20,0.008984647592463363,answer
21,0.008853803210048848,basic
22,0.008679344033496163,collect
23,0.008592114445219819,end
24,0.008461270062805304,point
25,0.008330425680390788,part
26,0.008286810886252617,figur
27,0.008286810886252617,templat
28,0.008112351709699931,gener
29,0.007807048150732729,excel
