,Num Topic,Score
0,5,0.46658602639804825
1,6,0.48113967868082513
2,7,0.507011430933078
3,8,0.45211479255689074
4,9,0.4971791087508372
5,10,0.4497570658379096
6,11,0.4872363496964333
7,12,0.4675684284722627
8,13,0.500475770165455
9,14,0.4768643489741929
10,15,0.49613114938298364
11,16,0.4759072377800335
12,17,0.4645575289436196
13,18,0.47123425235127375
14,19,0.46034167372304075
15,20,0.4593549946213221
16,21,0.46750869710777254
17,22,0.4683797497005861
18,23,0.44645976363065903
19,24,0.4583727590269063
20,25,0.448848403176843
21,26,0.4467633655886104
22,27,0.45256417184963654
23,28,0.45541498958115634
24,29,0.4433184853124179
25,30,0.4558797279925989
