,Dominant Topic,Document_Count,Percentage
0,0,237,4.95
1,1,264,5.52
2,2,465,9.72
3,3,384,8.03
4,4,397,8.3
5,5,269,5.62
6,6,257,5.37
7,7,284,5.94
8,8,326,6.81
9,9,324,6.77
10,10,306,6.39
11,11,263,5.5
12,12,383,8.0
13,13,411,8.59
14,14,215,4.49
