,Dominant Topic,Document_Count,Percentage
0,0,354,7.4
1,1,244,5.1
2,2,377,7.88
3,3,418,8.74
4,4,473,9.89
5,5,302,6.31
6,6,291,6.08
7,7,312,6.52
8,8,443,9.26
9,9,361,7.54
10,10,305,6.37
11,11,219,4.58
12,12,334,6.98
13,13,352,7.36
