,Dominant Topic,Document_Count,Percentage
0,0,327,9.09
1,1,355,9.87
2,2,444,12.34
3,3,279,7.76
4,4,432,12.01
5,5,363,10.09
6,6,299,8.31
7,7,381,10.59
8,8,448,12.45
9,9,269,7.48
