,Dominant Topic,Document_Count,Percentage
0,0,234,6.51
1,1,187,5.2
2,2,158,4.39
3,3,209,5.81
4,4,182,5.06
5,5,183,5.09
6,6,187,5.2
7,7,197,5.48
8,8,343,9.54
9,9,253,7.03
10,10,165,4.59
11,11,214,5.95
12,12,201,5.59
13,13,163,4.53
14,14,274,7.62
15,15,291,8.09
16,16,156,4.34
