,Num Topic,Score
0,5,0.4550236216447252
1,6,0.4644269430199371
2,7,0.4624464425567099
3,8,0.45011622425019177
4,9,0.46237374294956596
5,10,0.44813232791291
6,11,0.4675306210274386
7,12,0.4600582669344242
8,13,0.4334111269428415
9,14,0.45516651057453794
10,15,0.4368552929669636
11,16,0.4329142109734656
12,17,0.45017616221166573
13,18,0.4513809071051791
14,19,0.4488911572122342
15,20,0.4300655386392765
16,21,0.43305246007745335
17,22,0.4226535135923368
18,23,0.4251356170480808
19,24,0.43559071043743813
20,25,0.4250502055140949
21,26,0.43586255496203996
22,27,0.42036169812793295
23,28,0.42326660951988115
24,29,0.41692002088591973
25,30,0.41638426182915894
