,Dominant Topic,Document_Count,Percentage
0,0,288,8.01
1,1,422,11.73
2,2,360,10.01
3,3,410,11.4
4,4,508,14.12
5,5,361,10.04
6,6,462,12.84
7,7,466,12.96
8,8,320,8.9
