,Dominant Topic,Document_Count,Percentage
0,0,233,4.87
1,1,287,6.0
2,2,197,4.12
3,3,253,5.29
4,4,276,5.77
5,5,286,5.98
6,6,158,3.3
7,7,267,5.58
8,8,249,5.2
9,9,262,5.48
10,10,257,5.37
11,11,410,8.57
12,12,294,6.14
13,13,248,5.18
14,14,375,7.84
15,15,324,6.77
16,16,191,3.99
17,17,218,4.56
