,Dominant Topic,Document_Count,Percentage
0,0,378,10.51
1,1,187,5.2
2,2,195,5.42
3,3,228,6.34
4,4,200,5.56
5,5,326,9.06
6,6,284,7.9
7,7,309,8.59
8,8,192,5.34
9,9,233,6.48
10,10,335,9.31
11,11,217,6.03
12,12,266,7.4
13,13,247,6.87
