,Num Topic,Score
0,5,0.43151240768479476
1,6,0.4271681330675825
2,7,0.4141951938935298
3,8,0.4151030172271028
4,9,0.4280255209840928
5,10,0.4197209643647393
6,11,0.42106696910941427
7,12,0.393601647641657
8,13,0.38956344179796604
9,14,0.4031392472840804
10,15,0.38862092915301555
11,16,0.3954014335587127
12,17,0.40518992056411285
13,18,0.4010769878373946
14,19,0.38335766273912447
15,20,0.3702112671175369
16,21,0.3581678065398552
17,22,0.3656586458588107
18,23,0.3650442966254745
19,24,0.35512066038652673
20,25,0.3663681174222607
21,26,0.3596654397877682
22,27,0.36623686105032943
23,28,0.34817551802208113
24,29,0.34412329448268336
25,30,0.34365933855190517
