Topic_Id,Num_of_Questions,Avg_View_Count,Avg_Favourite_Count,Num_of_Answers
0,251,472.8286853,1.071428571,64
1,272,566.8014706,0.846153846,135
2,309,301.8802589,0.974358974,77
3,289,359.6020761,1.035714286,94
4,234,485.5299145,1.090909091,90
5,261,536.6628352,0.954545455,67
6,373,784.6595174,1.235294118,100
7,230,763.7,1.225,55
8,250,506.796,1.16,75
9,227,578.1057269,1.18,122
10,313,721.6102236,0.862068966,121
11,255,408.345098,1.108108108,96
12,333,833.0960961,1.225,92
