,Prob,Word
0,0.14404598490048043,user
1,0.04504118050789293,access
2,0.040150995195607414,creat
3,0.03689087165408373,account
4,0.03423129718599863,applic
5,0.028997940974605355,app
6,0.022735072065888814,develop
7,0.021877144818119424,power
8,0.019646533973919012,deploy
9,0.019303363074811255,log
10,0.017158544955387784,login
11,0.016815374056280027,group
12,0.01501372683596431,commun
13,0.014327385037748799,assign
14,0.012525737817433082,advanc
15,0.012096774193548387,admin
16,0.01106726149622512,share
17,0.010895676046671241,permiss
18,0.010809883321894304,system
19,0.010380919698009609,picker
20,0.01029512697323267,role
21,0.01020933424845573,publish
22,0.01020933424845573,environ
23,0.010123541523678793,set
24,0.010037748798901854,enabl
25,0.009351407000686342,team
26,0.009179821551132464,requir
27,0.008922443376801648,specif
28,0.008922443376801648,preview
29,0.008665065202470831,current
