,Dominant Topic,Document_Count,Percentage
0,0,696,14.55
1,1,457,9.55
2,2,446,9.32
3,3,581,12.14
4,4,443,9.26
5,5,631,13.19
6,6,616,12.87
7,7,504,10.53
8,8,411,8.59
