Platform,Num_of_Questions,Num_of_Accepted_Answers,Avg_View_Count,Avg_Fav_Count,Avg_Score
Salesforce,1031,220,619.7478176527643,1.0555555555555556,0.4015518913676043
Appian,16,5,366.5625,2.0,0.375
Outsystems,147,79,1156.9319727891157,1.3125,1.0408163265306123
AppMaker,1123,452,272.3633125556545,1.072538860103627,0.4764024933214604
Zoho,445,149,874.9550561797753,1.263157894736842,0.7685393258426966
Mendix,35,13,459.74285714285713,1.0,0.7142857142857143
PowerApps,710,221,684.5408450704225,1.0,0.5549295774647888
QuickBase,67,33,575.0149253731344,0.9,0.44776119402985076
Vinyl,23,16,289.39130434782606,1.0,2.608695652173913
