,Prob,Word
0,0.09722222222222222,data
1,0.02889784946236559,power
2,0.026769713261648745,creat
3,0.02632168458781362,connect
4,0.02564964157706093,flow
5,0.025313620071684587,app
6,0.0198252688172043,databas
7,0.016577060931899642,excel
8,0.016577060931899642,connector
9,0.016241039426523298,azur
10,0.016017025089605733,sql
11,0.015793010752688172,sheet
12,0.01568100358422939,store
13,0.015232974910394265,microsoft
14,0.014672939068100358,import
15,0.01400089605734767,sourc
16,0.013888888888888888,add
17,0.01310483870967742,export
18,0.012656810035842294,powerapp
19,0.012096774193548387,custom
20,0.0114247311827957,collect
21,0.009968637992831542,server
22,0.009296594982078852,servic
23,0.008848566308243728,product
24,0.007504480286738351,updat
25,0.00739247311827957,common
26,0.007168458781362007,spreadsheet
27,0.006832437275985663,ms
28,0.0062724014336917565,entiti
29,0.006048387096774193,chat
