,Num Topic,Score
0,5,0.4261046227750285
1,6,0.4725694517976691
2,7,0.4674223471259899
3,8,0.4594344485604075
4,9,0.4618845900011173
5,10,0.4621653850617042
6,11,0.4371873686323781
7,12,0.47295833761674416
8,13,0.4457019051636716
9,14,0.46381595410317017
10,15,0.4630511693689022
11,16,0.453781183109281
12,17,0.44669034259742524
13,18,0.461120990135743
14,19,0.43711951971120666
15,20,0.4523294871041684
16,21,0.4469502435751848
17,22,0.4366309607804711
18,23,0.43733398750387276
19,24,0.43760076565085343
20,25,0.43936392922275336
21,26,0.44475396789409233
22,27,0.4384072533298979
23,28,0.4280479961821708
24,29,0.4316558949770784
25,30,0.41940692324562323
