,Dominant Topic,Document_Count,Percentage
0,0,572,11.95
1,1,333,6.96
2,2,313,6.54
3,3,289,6.04
4,4,423,8.84
5,5,283,5.91
6,6,462,9.66
7,7,333,6.96
8,8,444,9.28
9,9,273,5.71
10,10,323,6.75
11,11,313,6.54
12,12,424,8.86
