,Dominant Topic,Document_Count,Percentage
0,0,378,10.51
1,1,197,5.48
2,2,219,6.09
3,3,416,11.57
4,4,309,8.59
5,5,308,8.56
6,6,277,7.7
7,7,357,9.92
8,8,354,9.84
9,9,296,8.23
10,10,197,5.48
11,11,289,8.03
