,Dominant Topic,Document_Count,Percentage
0,0,332,9.23
1,1,257,7.14
2,2,323,8.98
3,3,275,7.65
4,4,222,6.17
5,5,352,9.79
6,6,410,11.4
7,7,354,9.84
8,8,427,11.87
9,9,376,10.45
10,10,269,7.48
