,Num Topic,Score
0,5,0.45077276810033046
1,6,0.40655187051364466
2,7,0.475874548282144
3,8,0.4630874387698402
4,9,0.40692947727749507
5,10,0.42879558070176227
6,11,0.43635005503425767
7,12,0.4373188580747749
8,13,0.4145751015882943
9,14,0.4084530739473719
10,15,0.4007012235698156
11,16,0.3880395790112946
12,17,0.40314030451705285
13,18,0.3884146880942407
14,19,0.38940318459191225
15,20,0.3786206132683681
16,21,0.3719392122533832
17,22,0.3782056634065434
18,23,0.3641277242928709
19,24,0.36896847394368476
20,25,0.3629366212490155
21,26,0.3547098063761617
22,27,0.3524248037087779
23,28,0.3623229930556041
24,29,0.3408438334757513
25,30,0.33225888725982
