,Dominant Topic,Document_Count,Percentage
0,0,327,9.09
1,1,234,6.51
2,2,257,7.14
3,3,227,6.31
4,4,241,6.7
5,5,274,7.62
6,6,190,5.28
7,7,193,5.37
8,8,214,5.95
9,9,366,10.18
10,10,232,6.45
11,11,295,8.2
12,12,342,9.51
13,13,205,5.7
