,Dominant Topic,Document_Count,Percentage
0,0,704,14.71
1,1,748,15.63
2,2,511,10.68
3,3,538,11.24
4,4,683,14.27
5,5,491,10.26
6,6,414,8.65
7,7,696,14.55
