,Dominant Topic,Document_Count,Percentage
0,0,404,11.23
1,1,213,5.92
2,2,341,9.48
3,3,309,8.59
4,4,203,5.64
5,5,261,7.26
6,6,255,7.09
7,7,249,6.92
8,8,306,8.51
9,9,189,5.25
10,10,175,4.87
11,11,315,8.76
12,12,149,4.14
13,13,228,6.34
