,Dominant Topic,Document_Count,Percentage
0,0,616,12.87
1,1,664,13.88
2,2,442,9.24
3,3,441,9.22
4,4,590,12.33
5,5,467,9.76
6,6,577,12.06
7,7,531,11.1
8,8,457,9.55
