,Dominant Topic,Document_Count,Percentage
0,0,346,9.62
1,1,322,8.95
2,2,218,6.06
3,3,272,7.56
4,4,341,9.48
5,5,332,9.23
6,6,277,7.7
7,7,321,8.92
8,8,342,9.51
9,9,282,7.84
10,10,296,8.23
11,11,248,6.89
