,Dominant Topic,Document_Count,Percentage
0,0,335,9.31
1,1,429,11.93
2,2,392,10.9
3,3,197,5.48
4,4,245,6.81
5,5,224,6.23
6,6,293,8.15
7,7,273,7.59
8,8,283,7.87
9,9,266,7.4
10,10,311,8.65
11,11,349,9.7
