,Dominant Topic,Document_Count,Percentage
0,0,230,6.39
1,1,170,4.73
2,2,221,6.14
3,3,236,6.56
4,4,345,9.59
5,5,156,4.34
6,6,302,8.4
7,7,140,3.89
8,8,151,4.2
9,9,196,5.45
10,10,177,4.92
11,11,173,4.81
12,12,145,4.03
13,13,194,5.39
14,14,162,4.5
15,15,238,6.62
16,16,210,5.84
17,17,151,4.2
