,Dominant Topic,Document_Count,Percentage
0,0,338,7.06
1,1,242,5.06
2,2,219,4.58
3,3,250,5.22
4,4,232,4.85
5,5,305,6.37
6,6,204,4.26
7,7,332,6.94
8,8,253,5.29
9,9,431,9.01
10,10,330,6.9
11,11,342,7.15
12,12,403,8.42
13,13,353,7.38
14,14,270,5.64
15,15,281,5.87
