,Dominant Topic,Document_Count,Percentage
0,0,471,13.09
1,1,461,12.82
2,2,377,10.48
3,3,638,17.74
4,4,420,11.68
5,5,455,12.65
6,6,387,10.76
7,7,388,10.79
