,Dominant Topic,Document_Count,Percentage
0,0,505,14.04
1,1,470,13.07
2,2,457,12.71
3,3,288,8.01
4,4,423,11.76
5,5,342,9.51
6,6,298,8.28
7,7,362,10.06
8,8,452,12.57
