,Dominant Topic,Document_Count,Percentage
0,0,326,6.81
1,1,388,8.11
2,2,477,9.97
3,3,338,7.06
4,4,526,10.99
5,5,491,10.26
6,6,412,8.61
7,7,586,12.25
8,8,303,6.33
9,9,482,10.07
10,10,456,9.53
