,Dominant Topic,Document_Count,Percentage
0,0,395,8.25
1,1,512,10.7
2,2,556,11.62
3,3,537,11.22
4,4,426,8.9
5,5,467,9.76
6,6,471,9.84
7,7,413,8.63
8,8,549,11.47
9,9,459,9.59
