,Dominant Topic,Document_Count,Percentage
0,0,174,4.84
1,1,158,4.39
2,2,174,4.84
3,3,377,10.48
4,4,323,8.98
5,5,288,8.01
6,6,223,6.2
7,7,274,7.62
8,8,228,6.34
9,9,106,2.95
10,10,128,3.56
11,11,127,3.53
12,12,148,4.11
13,13,254,7.06
14,14,236,6.56
15,15,151,4.2
16,16,228,6.34
